ParName   Value   Gradient
mateste(1)     -4.83724  7.82055e-07
mateste(2)     -4.36191 -6.32259e-06
mateste(3)     -3.88658 -3.14495e-05
mateste(4)     -3.41181 -0.000104144
mateste(5)     -2.94467 -0.000196618
mateste(6)     -2.51287 -0.000330198
mateste(7)     -2.14965 -0.000459367
mateste(8)     -1.87598 -0.000567772
mateste(9)     -1.71778 -0.000650802
mateste(10)     -1.62933 -0.000647675
mateste(11)     -1.57904 -0.000624962
mateste(12)     -1.57744 -0.000622751
mateste(13)     -1.53184 -0.000634008
mateste(14)     -1.29321 -0.000654457
mateste(15)    -0.821225 -0.000521816
mateste(16)    -0.271091 -0.000256167
mateste(17) -1.57556e-09 -6.94839e-07
matestfe(1)     -4.32711 -9.73823e-07
matestfe(2)     -3.35887  1.93657e-06
matestfe(3)     -2.39062  1.00561e-06
matestfe(4)     -1.42892  1.88561e-06
matestfe(5)    -0.555821  9.97083e-07
matestfe(6)    -0.118123  8.14361e-07
matestfe(7)    -0.099813 -7.22326e-08
matestfe(8)   -0.0387224 -6.36148e-08
mean_log_rec_f       13.392  2.02681e-06
mean_log_rec_m      13.2701    0.0022022
rec_devf(1982)     -1.46779  9.51092e-08
rec_devf(1983)    -0.699418 -1.05605e-06
rec_devf(1984)     0.291804 -2.00021e-06
rec_devf(1985)      2.00575 -6.23913e-06
rec_devf(1986)      1.02057 -6.46358e-07
rec_devf(1987)      0.43526 -5.74011e-06
rec_devf(1988)    -0.272838  6.30266e-06
rec_devf(1989)     0.409282 -5.84951e-06
rec_devf(1990)     0.364129 -4.32439e-07
rec_devf(1991)     0.787515 -3.36375e-06
rec_devf(1992)     0.848697 -2.42214e-06
rec_devf(1993)     0.586059 -2.34226e-06
rec_devf(1994)    -0.693542  3.24021e-06
rec_devf(1995)    -0.958774 -6.69575e-06
rec_devf(1996)    -0.964249  3.86982e-06
rec_devf(1997)    -0.704095 -3.56605e-06
rec_devf(1998)    -0.297865 -1.37524e-06
rec_devf(1999)    -0.871161 -9.52763e-07
rec_devf(2000)     -1.04686  4.27154e-07
rec_devf(2001)     -1.05483 -5.04527e-07
rec_devf(2002)     -0.17865  2.54968e-07
rec_devf(2003)     0.658668 -1.32269e-06
rec_devf(2004)   -0.0802855 -2.41982e-07
rec_devf(2005)    -0.149908  1.42446e-06
rec_devf(2006)    -0.716834  1.47238e-06
rec_devf(2007)    -0.662312  3.62035e-06
rec_devf(2008)      1.41951  3.27383e-05
rec_devf(2009)     0.377448  5.87111e-06
rec_devf(2010)   -0.0319693   4.1281e-07
rec_devf(2011)     0.114389 -4.00598e-06
rec_devf(2012)     0.294115 -1.51387e-06
rec_devf(2013)      0.20793 -1.06912e-06
rec_devf(2014)       1.2964 -1.50769e-06
rec_devf(2015)   -0.0964482 -8.58418e-07
rec_devf(2016)   -0.0820216  1.73659e-06
rec_devf(2017)   -0.0587152  7.03114e-07
rec_devf(2018)   -0.0275596 -4.98481e-06
rec_devf(2019)  -0.00141074 -4.88946e-06
rec_devf(2020) -3.35283e-08  -2.9137e-06
rec_devm(1982)      1.12187  -0.00418665
rec_devm(1983)     0.921017  -0.00244785
rec_devm(1984)      1.19756   0.00150592
rec_devm(1985)      1.66305    0.0116479
rec_devm(1986)      1.33751    0.0114623
rec_devm(1987)      1.71411    0.0141894
rec_devm(1988)      -1.5256 -0.000938692
rec_devm(1989)    -0.844383 -0.000854987
rec_devm(1990)    -0.621697 -0.000983912
rec_devm(1991)      2.29901   0.00283142
rec_devm(1992)     0.126717  -0.00106712
rec_devm(1993)    -0.559092  -0.00129857
rec_devm(1994)      -1.2817  -0.00131494
rec_devm(1995)     -1.72383  -0.00130999
rec_devm(1996)     -1.40178  -0.00129888
rec_devm(1997)     0.292797  -0.00114545
rec_devm(1998)   -0.0283961  -0.00113452
rec_devm(1999)     -1.03906   -0.0012218
rec_devm(2000)    -0.984061  -0.00116494
rec_devm(2001)    0.0172616 -0.000784127
rec_devm(2002)     0.763003 -0.000172338
rec_devm(2003)     0.603871 -0.000450397
rec_devm(2004)     0.610437 -0.000704981
rec_devm(2005)    -0.281633  -0.00118577
rec_devm(2006)     -1.38585  -0.00129051
rec_devm(2007)     -1.27551  -0.00123107
rec_devm(2008)     0.400135 -0.000347094
rec_devm(2009)    -0.510056 -0.000929556
rec_devm(2010)    -0.750026  -0.00115402
