ParName   Value   Gradient
mateste(1)     -4.33677  1.82156e-06
mateste(2)      -3.8794 -5.92954e-06
mateste(3)     -3.42203 -2.99365e-05
mateste(4)     -2.96547 -9.73503e-05
mateste(5)     -2.51729 -0.000175349
mateste(6)     -2.10384 -0.000277774
mateste(7)     -1.75262 -0.000399504
mateste(8)     -1.47858 -0.000481405
mateste(9)     -1.29875 -0.000553996
mateste(10)     -1.16546 -0.000614519
mateste(11)     -1.08547  -0.00060031
mateste(12)     -1.11361 -0.000520258
mateste(13)      -1.1317 -0.000514567
mateste(14)    -0.977813  -0.00058189
mateste(15)    -0.622634 -0.000646914
mateste(16)    -0.200595 -0.000549825
mateste(17) -1.61507e-09 -3.27481e-06
matestfe(1)     -4.23415 -1.08332e-06
matestfe(2)     -3.28087  5.50914e-07
matestfe(3)     -2.32756 -8.43682e-07
matestfe(4)     -1.38057 -2.02795e-06
matestfe(5)    -0.522098  1.02434e-06
matestfe(6)    -0.109569   1.1956e-06
matestfe(7)    -0.101457  1.25391e-06
matestfe(8)   -0.0369454 -3.00375e-07
mean_log_rec_f      14.0314 -4.05133e-06
mean_log_rec_m       13.961   0.00128799
rec_devf(1982)     -1.58748  4.80801e-06
rec_devf(1983)     -1.56969   6.4986e-06
rec_devf(1984)    -0.402651  5.03195e-06
rec_devf(1985)      1.15339   9.4445e-06
rec_devf(1986)    0.0923378  5.96354e-06
rec_devf(1987)    -0.455196  4.67866e-06
rec_devf(1988)    -0.842204  3.47549e-06
rec_devf(1989)     0.055808   4.6993e-06
rec_devf(1990)     0.481275  2.28613e-06
rec_devf(1991)      1.18841  5.90003e-06
rec_devf(1992)      1.49386  5.47396e-06
rec_devf(1993)      1.53301  2.89374e-06
rec_devf(1994)   -0.0405193  7.16223e-06
rec_devf(1995)    -0.261307  1.10656e-07
rec_devf(1996)    -0.204541  3.91147e-06
rec_devf(1997)     0.060638 -1.77906e-07
rec_devf(1998)     0.147844  2.39763e-07
rec_devf(1999)    -0.545585   1.5711e-06
rec_devf(2000)    -0.657077  2.66063e-07
rec_devf(2001)    -0.957772  2.12418e-06
rec_devf(2002)    -0.284912   3.2056e-07
rec_devf(2003)     0.755326 -2.35485e-06
rec_devf(2004)     0.464981 -6.52651e-06
