ParName   Value   Gradient
mateste(1)     -4.39796    -0.803322
mateste(2)     -3.94774      5.25007
mateste(3)     -3.49848     -1.43755
mateste(4)     -3.04683      11.8505
mateste(5)     -2.60122      27.1045
mateste(6)     -2.19008      37.9616
mateste(7)     -1.84276      62.8477
mateste(8)     -1.57987      85.9959
mateste(9)     -1.42194      89.6537
mateste(10)     -1.31553       100.68
mateste(11)     -1.25506      95.3573
mateste(12)      -1.2692      88.2482
mateste(13)     -1.24537      89.5564
mateste(14)     -1.03857      83.7008
mateste(15)    -0.630688      84.0332
mateste(16)    -0.177877      51.8632
mateste(17) -1.67118e-05     -4.21291
matestfe(1)     -4.40899     -2.03515
matestfe(2)     -3.40898      1.23615
matestfe(3)     -2.41384      1.35522
matestfe(4)     -1.43295       2.4266
matestfe(5)    -0.549152     0.120076
matestfe(6)    -0.112527    -0.667878
matestfe(7)    -0.100047   -0.0949955
matestfe(8)   -0.0353538      2.46267
mean_log_rec_f      14.0009     -5.13751
mean_log_rec_m      13.7935      -196.23
rec_devf(1982)     -1.45507     -1.50549
rec_devf(1983)     -1.37056     0.367995
rec_devf(1984)    -0.189542      2.65534
rec_devf(1985)      1.36089      6.56646
rec_devf(1986)     0.318413       5.4654
rec_devf(1987)      -0.3493     0.722917
rec_devf(1988)    -0.687786      8.79508
rec_devf(1989)     0.110942      2.03428
rec_devf(1990)     0.455897    -0.581732
rec_devf(1991)      1.24035      3.13124
rec_devf(1992)      1.50176     -3.02373
rec_devf(1993)      1.55603    -0.745345
rec_devf(1994)    -0.147005     -3.72153
rec_devf(1995)    -0.369936     -3.09952
rec_devf(1996)    -0.373651     -7.18163
rec_devf(1997)   -0.0245329     -4.56508
rec_devf(1998)    0.0438281     -10.8539
rec_devf(1999)    -0.686527     -10.4624
rec_devf(2000)    -0.813815      -7.7104
rec_devf(2001)     -1.07482     -2.35257
rec_devf(2002)    -0.392633      -3.3777
rec_devf(2003)     0.702762     -4.90289
rec_devf(2004)      0.43082      -4.1594
rec_devf(2005)     0.289832       3.2454
rec_devf(2006)    -0.409122     -1.62085
rec_devf(2007)    -0.642954     -2.87401
rec_devf(2008)     0.230734      -7.4312
rec_devf(2009)     0.475965     -13.5749
rec_devf(2010)    -0.394581     -2.72307
rec_devf(2011)    -0.224008     0.371215
rec_devf(2012)    -0.279854      1.19548
rec_devf(2013)    -0.612567      4.18981
rec_devf(2014)     0.178624      3.86377
rec_devf(2015)      1.12732      5.54426
rec_devf(2016)     0.644344      2.37548
rec_devf(2017)    -0.045695      8.50149
