ParName   Value   Gradient
mateste(1)      -3.8801 -4.24532e-05
mateste(2)      -3.4856  0.000179627
mateste(3)     -3.09109  0.000844795
mateste(4)     -2.69661   0.00316324
mateste(5)     -2.30504   0.00544893
mateste(6)     -1.94258   0.00896239
mateste(7)     -1.64018    0.0123418
mateste(8)     -1.41118     0.014356
mateste(9)     -1.26789    0.0173999
mateste(10)     -1.16631    0.0187127
mateste(11)     -1.10057    0.0174078
mateste(12)     -1.07996    0.0179165
mateste(13)    -0.995292    0.0220469
mateste(14)    -0.759636    0.0263017
mateste(15)    -0.406467    0.0258705
mateste(16)   -0.0889831    0.0142706
mateste(17) -2.44049e-09    0.0112557
matestfe(1)     -3.31094  2.31098e-05
matestfe(2)     -2.56219 -4.39384e-06
matestfe(3)      -1.8134  1.65854e-05
matestfe(4)     -1.06963 -3.73476e-05
matestfe(5)    -0.393106 -8.90175e-05
matestfe(6)   -0.0817118 -3.60166e-05
matestfe(7)   -0.0859125 -4.86828e-05
matestfe(8)   -0.0349783 -3.52469e-05
mean_log_rec_f      13.9233  8.80985e-05
mean_log_rec_m      14.2303   -0.0327061
rec_devf(1982)     -1.10883 -4.47148e-05
rec_devf(1983)     -1.20178 -3.25302e-05
rec_devf(1984)   0.00660666 -0.000112711
rec_devf(1985)      1.65698 -0.000220479
rec_devf(1986)      1.18938 -0.000102258
rec_devf(1987)      1.01622 -1.84435e-05
rec_devf(1988)    -0.158843 -4.07218e-05
rec_devf(1989)     0.754012  5.58001e-05
rec_devf(1990)     0.529216  7.28569e-05
rec_devf(1991)     0.914655  0.000111153
rec_devf(1992)      0.95996  1.48027e-05
rec_devf(1993)     0.932688 -0.000134518
rec_devf(1994)     -0.35877 -0.000107476
rec_devf(1995)    -0.555153 -6.42301e-05
rec_devf(1996)    -0.777429 -5.91141e-05
rec_devf(1997)    -0.530258 -5.05046e-05
rec_devf(1998)     0.163262   1.3713e-06
rec_devf(1999)    -0.647527 -4.75905e-05
rec_devf(2000)    -0.647492  -3.1515e-05
rec_devf(2001)    -0.651813 -0.000114962
rec_devf(2002)   0.00704281 -0.000136418
rec_devf(2003)     0.718055  1.97119e-05
rec_devf(2004)    0.0264092  2.50761e-05
rec_devf(2005)    -0.208715  5.71107e-05
rec_devf(2006)    -0.753918  0.000111575
rec_devf(2007)    -0.915934  8.73177e-05
rec_devf(2008)       1.0807  0.000948138
rec_devf(2009)     0.745152  0.000239518
rec_devf(2010)     -0.24624 -3.15922e-05
rec_devf(2011)    -0.254727 -6.91677e-05
rec_devf(2012)    -0.282681 -3.66987e-05
rec_devf(2013)    -0.308743 -6.95275e-05
rec_devf(2014)     -0.29592 -9.45708e-06
rec_devf(2015)    -0.268921 -7.08837e-05
rec_devf(2016)    -0.237157 -6.55301e-05
rec_devf(2017)    -0.185057 -7.93887e-05
rec_devf(2018)    -0.102172  -6.3741e-05
rec_devf(2019)  -0.00226164 -6.61237e-05
rec_devf(2020) -4.29298e-07 -7.89423e-05
rec_devm(1982)     0.241441   0.00188462
rec_devm(1983)     0.440925  -0.00013503
rec_devm(1984)     0.635828    -0.025399
rec_devm(1985)       1.8982   -0.0832457
rec_devm(1986)      0.34327   0.00795827
rec_devm(1987)      1.68961   -0.0426462
rec_devm(1988)    -0.979028     0.010167
rec_devm(1989)     0.150786  -0.00951982
rec_devm(1990)     0.182695   -0.0123345
rec_devm(1991)      2.34956     -0.30832
rec_devm(1992)   -0.0749023  -0.00306787
rec_devm(1993)      0.58866   0.00471426
rec_devm(1994)    -0.815846    0.0189288
rec_devm(1995)     -1.42424    0.0193558
rec_devm(1996)     -1.10178    0.0193752
rec_devm(1997)     0.625621    0.0186626
rec_devm(1998)    0.0033706    0.0185907
rec_devm(1999)    -0.990488    0.0185141
rec_devm(2000)     -1.00263     0.017553
rec_devm(2001)   -0.0552728   0.00956024
rec_devm(2002)     0.499161  -0.00635312
rec_devm(2003)     0.464877 -0.000800271
rec_devm(2004)  -0.00795378    0.0123641
rec_devm(2005)    -0.519036    0.0183316
rec_devm(2006)     -1.09676    0.0196892
rec_devm(2007)    -0.277106    0.0201202
rec_devm(2008)     0.915363    0.0208836
rec_devm(2009)    -0.181275    0.0200642
rec_devm(2010)    -0.372634    0.0200747
rec_devm(2011)    -0.386836    0.0201348
rec_devm(2012)    -0.368909    0.0201219
rec_devm(2013)    -0.378242    0.0201072
rec_devm(2014)    -0.432829    0.0200974
rec_devm(2015)    -0.354498    0.0199712
rec_devm(2016)        -0.16     0.019846
rec_devm(2017)   -0.0388777    0.0197943
rec_devm(2018)  -0.00844789    0.0197773
rec_devm(2019)  -0.00177949    0.0197651
rec_devm(2020)  5.21074e-07    0.0197835
mnatlen_styr(1,1)      12.0399 -0.000545125
mnatlen_styr(1,2)      12.0934  -0.00140084
mnatlen_styr(1,3)      12.2859  -0.00251937
mnatlen_styr(1,4)      12.5604  -0.00386993
mnatlen_styr(1,5)      12.7654  -0.00552047
mnatlen_styr(1,6)      12.6823  -0.00662638
mnatlen_styr(1,7)      12.5241  -0.00716162
mnatlen_styr(1,8)      12.4078  -0.00685799
mnatlen_styr(1,9)      12.3246  -0.00731967
mnatlen_styr(1,10)      12.1126  -0.00711901
mnatlen_styr(1,11)      11.8355  -0.00520735
mnatlen_styr(1,12)      11.7603  -0.00427123
mnatlen_styr(1,13)      11.6261  -0.00445294
mnatlen_styr(1,14)        10.76  -0.00262471
mnatlen_styr(1,15)      9.50403 -0.000955444
mnatlen_styr(1,16)      8.47498 -0.000385034
mnatlen_styr(1,17)      7.66743 -0.000217618
mnatlen_styr(1,18)      7.05807 -0.000203341
mnatlen_styr(1,19)      6.59634 -5.08831e-05
mnatlen_styr(1,20)      6.24576 -9.87058e-06
mnatlen_styr(1,21)      6.00135 -1.92427e-06
mnatlen_styr(1,22)      5.87614 -6.36005e-05
mnatlen_styr(2,1)      1.62425 -5.23612e-05
mnatlen_styr(2,2)      3.05913  6.36102e-05
mnatlen_styr(2,3)        4.494  -1.0439e-05
mnatlen_styr(2,4)      5.92884  1.07756e-05
mnatlen_styr(2,5)      7.36321 -5.04944e-06
mnatlen_styr(2,6)      8.78956  5.72182e-05
mnatlen_styr(2,7)      10.0772  -5.9692e-05
mnatlen_styr(2,8)      11.1128   3.2619e-05
mnatlen_styr(2,9)      11.8421 -3.61983e-05
mnatlen_styr(2,10)      12.2823  3.00991e-05
mnatlen_styr(2,11)       12.486 -3.76166e-05
mnatlen_styr(2,12)      12.5167   3.0386e-05
mnatlen_styr(2,13)      12.4353  1.07403e-05
mnatlen_styr(2,14)      12.2619  1.43845e-05
mnatlen_styr(2,15)      11.9757 -0.000771264
mnatlen_styr(2,16)      11.5333    -0.001475
mnatlen_styr(2,17)      10.8356  -0.00124233
mnatlen_styr(2,18)      9.93039 -0.000751781
mnatlen_styr(2,19)      8.89837 -0.000348478
mnatlen_styr(2,20)      7.80116 -0.000111741
mnatlen_styr(2,21)      6.67825 -2.38771e-05
mnatlen_styr(2,22)      5.54933  4.81944e-06
fnatlen_styr(1,1)      10.5902 -2.88234e-05
fnatlen_styr(1,2)      10.7265  -8.9193e-06
fnatlen_styr(1,3)      11.0648  2.21997e-05
fnatlen_styr(1,4)      11.6015  2.49852e-05
fnatlen_styr(1,5)      12.7885 -3.16338e-05
fnatlen_styr(1,6)      13.5767  4.36204e-06
fnatlen_styr(1,7)      12.8925 -3.25908e-05
fnatlen_styr(1,8)      11.9147  7.07466e-06
fnatlen_styr(1,9)      10.8943  5.38096e-06
fnatlen_styr(1,10)      9.93249  3.85061e-05
fnatlen_styr(1,11)      9.35225 -1.91832e-05
fnatlen_styr(1,12)      9.09241 -1.85353e-05
fnatlen_styr(2,1)      10.4615 -2.43261e-05
fnatlen_styr(2,2)      10.5417 -2.08514e-05
fnatlen_styr(2,3)       10.792  3.40069e-05
fnatlen_styr(2,4)      11.3898  2.33465e-05
fnatlen_styr(2,5)      12.4902 -1.91261e-05
fnatlen_styr(2,6)      13.1587  -2.7059e-05
fnatlen_styr(2,7)      12.7081   -3.329e-05
fnatlen_styr(2,8)      11.8206   1.8634e-05
fnatlen_styr(2,9)      10.9776 -5.01439e-07
fnatlen_styr(2,10)      10.0349  3.80459e-05
fnatlen_styr(2,11)      9.42985  -2.6376e-05
fnatlen_styr(2,12)      9.15254 -1.99129e-05
log_avg_fmort    -0.315145   -0.0216299
fmort_dev(1982)    -0.657059   0.00409691
fmort_dev(1983)     -1.35134   0.00445807
fmort_dev(1984)    -0.671021  0.000139111
fmort_dev(1985)     -0.14078  -0.00553107
fmort_dev(1986)     0.241892 -0.000253618
fmort_dev(1987)     0.882392   -0.0077468
fmort_dev(1988)     0.922863    0.0120728
fmort_dev(1989)     0.615647   0.00589202
fmort_dev(1990)      1.23993   -0.0169927
fmort_dev(1991)      1.56766 -0.000938335
fmort_dev(1992)      1.46358    0.0152498
fmort_dev(1993)      0.77528   -0.0072895
fmort_dev(1994)     0.472816  -0.00661299
fmort_dev(1995)     0.165109  -0.00425023
fmort_dev(1996)    0.0864824   -0.0132046
fmort_dev(1997)       0.2882    -0.047458
fmort_dev(1998)     0.402836  -0.00643449
fmort_dev(1999)     -1.04563   0.00477124
fmort_dev(2000)    -0.912069   0.00459459
fmort_dev(2001)   -0.0778535   0.00403133
fmort_dev(2002)    -0.438363   0.00423621
fmort_dev(2003)     -1.05121   0.00451601
fmort_dev(2004)    -0.998858   0.00444926
fmort_dev(2005)    -0.264537   0.00418002
fmort_dev(2006)    -0.248554     0.005142
fmort_dev(2007)   -0.0690512   0.00229645
fmort_dev(2008)    -0.566814  -0.00226489
fmort_dev(2009)     -1.04998 -0.000216242
fmort_dev(2010)      -1.0357  0.000780885
fmort_dev(2011)     0.591501   0.00442312
fmort_dev(2012)     0.631738   0.00443344
fmort_dev(2013)     0.783711     0.004383
fmort_dev(2014)     0.863236   0.00434713
fmort_dev(2015)     0.835432   0.00437393
fmort_dev(2016)      0.82479   0.00438029
fmort_dev(2017)     -4.99852   0.00029918
fmort_dev(2018)     0.801486   0.00432099
fmort_dev(2019)      1.12077   0.00414907
log_avg_fmortdf     -6.91316    1.262e-05
fmortdf_dev(1982)   -0.0758877 -1.76197e-05
fmortdf_dev(1983)   -0.0669501  -1.2927e-05
fmortdf_dev(1984)   -0.0610284 -6.96511e-06
fmortdf_dev(1985)   -0.0649434 -2.36107e-05
fmortdf_dev(1986)   -0.0494376 -1.25185e-05
fmortdf_dev(1987)    0.0205744 -1.46674e-06
fmortdf_dev(1988)  -0.00823997 -9.36694e-06
fmortdf_dev(1989)    0.0357986 -1.35636e-05
fmortdf_dev(1990)    0.0944969   2.7522e-05
fmortdf_dev(1991)      0.18554  3.12449e-06
fmortdf_dev(1992)     0.996078 -1.81992e-06
fmortdf_dev(1993)     0.353386 -1.22712e-06
fmortdf_dev(1994)     0.175586 -1.08556e-05
fmortdf_dev(1995)    -0.101466  4.10655e-06
fmortdf_dev(1996)     0.289414 -1.09054e-06
fmortdf_dev(1997)    -0.115904 -2.13403e-05
fmortdf_dev(1998)    -0.084918  1.48138e-06
fmortdf_dev(1999)   -0.0913507  2.67216e-05
fmortdf_dev(2000)   -0.0884232 -3.46922e-05
fmortdf_dev(2001)   -0.0821261 -3.81955e-05
fmortdf_dev(2002)   -0.0699548 -1.73701e-05
fmortdf_dev(2003)   -0.0716618 -2.78908e-05
fmortdf_dev(2004)   -0.0712644  3.65369e-06
fmortdf_dev(2005)   -0.0735618 -1.63255e-05
fmortdf_dev(2006)   -0.0822649 -3.19975e-05
fmortdf_dev(2007)   -0.0656211 -2.07018e-05
fmortdf_dev(2008)   -0.0747912 -2.18217e-05
fmortdf_dev(2009)   -0.0835085 -2.21913e-06
fmortdf_dev(2010)    -0.164016  -1.3547e-05
fmortdf_dev(2011)      1.25727 -1.28298e-05
fmortdf_dev(2012)    -0.252712 -1.05354e-05
fmortdf_dev(2013)  -0.00742815 -2.33089e-06
fmortdf_dev(2014)     0.785441  3.72971e-06
fmortdf_dev(2015)   -0.0704848  2.62705e-05
fmortdf_dev(2016)    -0.494903 -4.81348e-06
fmortdf_dev(2017)    -0.536216  5.03749e-06
fmortdf_dev(2018)     -0.56447 -1.13949e-05
fmortdf_dev(2019)    -0.620048  2.52786e-05
log_avg_fmortt     -4.87753    0.0206358
fmortt_dev_era1(1982)     0.245479 -0.000852558
