ParName   Value   Gradient
mateste(1)      -4.4355  3.48871e-07
mateste(2)     -3.97773  2.19362e-06
mateste(3)     -3.51995  3.48363e-06
mateste(4)     -3.06366  1.34717e-05
mateste(5)     -2.62099  3.18597e-05
mateste(6)      -2.2186   4.0004e-05
mateste(7)     -1.87987  5.58092e-05
mateste(8)     -1.61957  6.92801e-05
mateste(9)     -1.44661  7.97856e-05
mateste(10)     -1.32114  9.11039e-05
mateste(11)     -1.24336   8.6657e-05
mateste(12)     -1.22623  7.28028e-05
mateste(13)     -1.16093  8.29365e-05
mateste(14)      -0.9399  0.000100155
mateste(15)    -0.572057  0.000127041
mateste(16)    -0.188146  0.000111422
mateste(17)  -1.8767e-09   2.2755e-05
matestfe(1)      -4.1285 -4.42267e-08
matestfe(2)     -3.19444 -1.12833e-07
matestfe(3)     -2.26038  8.82861e-07
matestfe(4)     -1.33293  8.79765e-07
matestfe(5)    -0.495024  4.12815e-07
matestfe(6)    -0.105087 -4.21318e-07
matestfe(7)    -0.096074 -2.23596e-06
matestfe(8)   -0.0334124 -4.36256e-07
mean_log_rec_f      13.6243  9.50542e-07
mean_log_rec_m      13.8651 -0.000210321
rec_devf(1982)     -1.09822  4.08185e-07
rec_devf(1983)     -1.11611  1.63893e-07
rec_devf(1984)    -0.176103  -1.2395e-06
rec_devf(1985)      1.44953 -1.95238e-06
rec_devf(1986)     0.501341  -1.1841e-07
rec_devf(1987)   -0.0365307 -2.00157e-06
rec_devf(1988)    -0.422301 -8.00067e-08
rec_devf(1989)     0.662927  -7.4441e-08
rec_devf(1990)     0.772754 -2.90314e-06
rec_devf(1991)      1.01447 -8.51077e-07
rec_devf(1992)      1.02079  4.69793e-06
rec_devf(1993)     0.786746  7.10525e-06
rec_devf(1994)    -0.559506  2.43525e-06
rec_devf(1995)    -0.933735  3.79956e-07
rec_devf(1996)    -0.841736  1.48875e-06
rec_devf(1997)    -0.546518  6.28151e-07
rec_devf(1998)    -0.327977 -7.56529e-07
rec_devf(1999)    -0.809896  -7.1314e-07
rec_devf(2000)     -1.12184  5.88371e-07
rec_devf(2001)     -1.21525  6.92591e-07
rec_devf(2002)   -0.0753569 -1.32579e-06
rec_devf(2003)     0.975895 -6.81116e-06
rec_devf(2004)     0.207596  1.76764e-07
rec_devf(2005)    -0.216934   2.0783e-06
rec_devf(2006)    -0.930496  8.61567e-07
rec_devf(2007)    -0.937513  2.71769e-07
rec_devf(2008)      1.13632  2.45566e-06
rec_devf(2009)     0.517333  1.34885e-06
