ParName   Value   Gradient
mateste(1)     -3.90904 -0.000190907
mateste(2)     -3.50882  -0.00164047
mateste(3)     -3.10861   -0.0101278
mateste(4)     -2.70847   -0.0329891
mateste(5)     -2.31164   -0.0563562
mateste(6)     -1.94396   -0.0857671
mateste(7)     -1.63712    -0.117686
mateste(8)     -1.40484    -0.129406
mateste(9)     -1.26035    -0.149022
mateste(10)     -1.16113    -0.169919
mateste(11)      -1.0983    -0.154362
mateste(12)     -1.08348    -0.139589
mateste(13)     -1.01331    -0.169248
mateste(14)    -0.793948    -0.212813
mateste(15)    -0.442522    -0.228332
mateste(16)     -0.11001    -0.142543
mateste(17)  -4.0755e-08     0.142169
matestfe(1)     -3.40051   0.00026301
matestfe(2)     -2.62937 -0.000248265
matestfe(3)      -1.8582  1.02657e-05
matestfe(4)     -1.09214  0.000620619
matestfe(5)    -0.396997 -0.000562393
matestfe(6)   -0.0825213  0.000113912
matestfe(7)   -0.0868997 -0.000301064
matestfe(8)   -0.0381311 -6.16577e-05
mean_log_rec_f      13.9204   0.00103059
mean_log_rec_m      14.2208     0.316921
rec_devf(1982)     -1.11731 -0.000601835
rec_devf(1983)     -1.19798 -0.000826857
rec_devf(1984)   0.00907497  -0.00138959
rec_devf(1985)      1.65595  0.000853714
rec_devf(1986)      1.15839  0.000303075
rec_devf(1987)     0.975326  -0.00034713
rec_devf(1988)    -0.164352  6.30582e-05
rec_devf(1989)     0.737579 -0.000197646
rec_devf(1990)     0.518221  4.89449e-05
rec_devf(1991)     0.903947  -0.00019308
rec_devf(1992)     0.952569  0.000342666
rec_devf(1993)     0.917475 -0.000466586
rec_devf(1994)    -0.376077  -0.00129014
rec_devf(1995)    -0.577351 -0.000694656
rec_devf(1996)    -0.792922 -0.000933154
rec_devf(1997)    -0.540997 -0.000310574
rec_devf(1998)     0.136476 -3.05319e-05
rec_devf(1999)    -0.663773 -0.000432889
rec_devf(2000)    -0.671193  -0.00057003
rec_devf(2001)    -0.671923  -0.00050503
rec_devf(2002)   0.00769029  -0.00089084
rec_devf(2003)     0.725422 -0.000225782
rec_devf(2004)    0.0491587  5.51208e-05
rec_devf(2005)    -0.191767   0.00132481
rec_devf(2006)    -0.769333  0.000681704
rec_devf(2007)    -0.946611   0.00153993
rec_devf(2008)      1.04469     0.011016
rec_devf(2009)     0.700305   0.00303919
rec_devf(2010)      0.13929 -0.000480736
rec_devf(2011)    -0.257207 -0.000617089
rec_devf(2012)    -0.284796 -0.000744882
rec_devf(2013)    -0.310169 -0.000959084
rec_devf(2014)    -0.297205 -0.000508272
rec_devf(2015)    -0.270231  -0.00111107
rec_devf(2016)    -0.238524  -0.00143994
rec_devf(2017)    -0.186434 -0.000806093
rec_devf(2018)    -0.102862  -0.00131475
rec_devf(2019)  -0.00251129  -0.00133017
rec_devf(2020) -1.66853e-05   -0.0014439
rec_devm(1982)     0.177492    -0.480214
rec_devm(1983)     0.388563    -0.267946
rec_devm(1984)     0.595669  -0.00828876
rec_devm(1985)      1.83139     0.470403
rec_devm(1986)      0.31709   -0.0907097
rec_devm(1987)      1.65156     0.249598
rec_devm(1988)     -1.00796    -0.159248
rec_devm(1989)     0.103806   -0.0551757
rec_devm(1990)     0.194357     0.110016
rec_devm(1991)      2.31761      4.15779
rec_devm(1992)   -0.0694668     0.222405
rec_devm(1993)     0.602596       0.2526
rec_devm(1994)    -0.818612    -0.148309
rec_devm(1995)     -1.42908    -0.174988
rec_devm(1996)     -1.10417    -0.170668
rec_devm(1997)     0.615055   -0.0787039
rec_devm(1998)    0.0146056    -0.114066
rec_devm(1999)    -0.986302    -0.158568
rec_devm(2000)     -1.00033    -0.164619
rec_devm(2001)  -0.00762483    -0.147135
rec_devm(2002)     0.518308   -0.0775999
rec_devm(2003)     0.492089   -0.0386554
rec_devm(2004)     0.224566    -0.117725
rec_devm(2005)    -0.592481    -0.178447
rec_devm(2006)     -1.28822    -0.190744
rec_devm(2007)    -0.485176    -0.193591
rec_devm(2008)     0.945651    -0.196428
rec_devm(2009)    -0.179805    -0.192944
rec_devm(2010)    0.0582868    -0.191689
rec_devm(2011)    -0.354277    -0.191548
rec_devm(2012)    -0.342565    -0.191566
rec_devm(2013)    -0.373593    -0.191574
rec_devm(2014)    -0.436529    -0.191071
rec_devm(2015)    -0.358905    -0.191653
rec_devm(2016)    -0.163327    -0.192014
rec_devm(2017)   -0.0399034     -0.19202
rec_devm(2018)  -0.00856733    -0.192008
rec_devm(2019)   -0.0017834    -0.192025
rec_devm(2020) -1.32905e-05    -0.192093
mnatlen_styr(1,1)       11.942  -0.00834756
mnatlen_styr(1,2)      11.9959   -0.0125425
mnatlen_styr(1,3)      12.1898   -0.0155753
mnatlen_styr(1,4)      12.4694   -0.0174157
mnatlen_styr(1,5)      12.6778   -0.0121307
mnatlen_styr(1,6)      12.5991   0.00403769
mnatlen_styr(1,7)      12.4355    0.0166413
mnatlen_styr(1,8)      12.3043    0.0207118
mnatlen_styr(1,9)      12.2201    0.0273036
mnatlen_styr(1,10)      12.0086    0.0340158
mnatlen_styr(1,11)      11.7163    0.0260035
mnatlen_styr(1,12)      11.6355    0.0202192
mnatlen_styr(1,13)      11.5312    0.0236202
mnatlen_styr(1,14)      10.6841    0.0169816
mnatlen_styr(1,15)       9.4229   0.00669156
mnatlen_styr(1,16)      8.38443   0.00257337
mnatlen_styr(1,17)      7.58099  0.000223632
mnatlen_styr(1,18)      6.98189  8.07356e-05
mnatlen_styr(1,19)      6.53168  0.000884423
mnatlen_styr(1,20)      6.19179   0.00152672
mnatlen_styr(1,21)      5.95537  0.000705433
mnatlen_styr(1,22)      5.83424  0.000214829
mnatlen_styr(2,1)       1.6927   4.3904e-05
mnatlen_styr(2,2)      3.10972 -0.000258411
mnatlen_styr(2,3)      4.52675  0.000175999
mnatlen_styr(2,4)      5.94374 -7.18774e-05
mnatlen_styr(2,5)      7.36022   0.00075302
mnatlen_styr(2,6)      8.76839  0.000125321
mnatlen_styr(2,7)      10.0381  -0.00020484
mnatlen_styr(2,8)      11.0574 -0.000978775
mnatlen_styr(2,9)      11.7744 -0.000784892
mnatlen_styr(2,10)      12.2084  -0.00041715
mnatlen_styr(2,11)      12.4136  0.000418975
mnatlen_styr(2,12)      12.4536  0.000203651
mnatlen_styr(2,13)      12.3879 -0.000509647
mnatlen_styr(2,14)      12.2321  6.48639e-05
mnatlen_styr(2,15)      11.9581   0.00382731
mnatlen_styr(2,16)      11.5192     0.011574
mnatlen_styr(2,17)      10.8212    0.0133333
mnatlen_styr(2,18)      9.91602   0.00931245
mnatlen_styr(2,19)      8.88359   0.00308224
mnatlen_styr(2,20)      7.78507   0.00249713
mnatlen_styr(2,21)      6.66029   0.00063962
mnatlen_styr(2,22)      5.52934  0.000288463
