ParName   Value   Gradient
mateste(1)     -4.91965 -1.46091e-06
mateste(2)     -4.40712  3.83136e-06
mateste(3)      -3.8946  1.90794e-06
mateste(4)     -3.38278 -3.72754e-06
mateste(5)     -2.87985 -4.74262e-06
mateste(6)     -2.41466 -8.75966e-07
mateste(7)     -2.01845  2.77892e-06
mateste(8)     -1.71082  6.33795e-06
mateste(9)     -1.52382  7.52046e-06
mateste(10)     -1.40943  4.29941e-06
mateste(11)      -1.3364  5.36836e-06
mateste(12)      -1.3416  7.95559e-06
mateste(13)     -1.33724  9.36738e-06
mateste(14)     -1.15502  1.67177e-05
mateste(15)    -0.735596  1.89614e-05
mateste(16)    -0.220843  1.32577e-05
mateste(17) -1.50755e-09  1.67343e-06
matestfe(1)     -4.45669 -5.91542e-07
matestfe(2)     -3.45378  1.24767e-06
matestfe(3)     -2.45086 -5.21043e-07
matestfe(4)     -1.45497 -2.58675e-06
matestfe(5)    -0.554724   2.3929e-06
matestfe(6)    -0.111684 -3.41814e-06
matestfe(7)    -0.094475  2.87246e-06
matestfe(8)     -0.03183 -8.60573e-07
mean_log_rec_f      13.7464  2.84363e-06
mean_log_rec_m      13.4269 -5.91697e-06
rec_devf(1982)     -1.53716 -4.87266e-06
rec_devf(1983)    -0.784483 -7.80959e-06
rec_devf(1984)      0.20701 -1.04633e-05
rec_devf(1985)      1.93346 -3.82318e-07
rec_devf(1986)      0.97085  -1.5411e-06
rec_devf(1987)     0.233891    -2.65e-06
rec_devf(1988)      -0.3922 -1.85209e-06
rec_devf(1989)     0.428781  3.75963e-06
rec_devf(1990)     0.465354  2.29204e-06
rec_devf(1991)       1.0568 -9.58647e-07
rec_devf(1992)      1.23282 -1.76547e-06
rec_devf(1993)      1.12328 -6.29463e-06
rec_devf(1994)    -0.379517 -1.91911e-06
rec_devf(1995)    -0.694466 -1.43359e-06
rec_devf(1996)    -0.723214  1.70806e-06
rec_devf(1997)     -0.49275   3.1672e-06
rec_devf(1998)     -0.20283  5.59794e-06
rec_devf(1999)    -0.723361  4.62441e-06
rec_devf(2000)    -0.887246  3.23488e-06
rec_devf(2001)     -1.00934  1.33691e-06
rec_devf(2002)      -0.1936  5.13188e-06
rec_devf(2003)     0.805752  1.81086e-06
rec_devf(2004)     0.358464  2.13644e-06
rec_devf(2005)    0.0379862  2.02731e-06
rec_devf(2006)    -0.702719  2.95556e-06
rec_devf(2007)    -0.724402  2.83721e-06
rec_devf(2008)      1.12631  1.65018e-05
rec_devf(2009)    0.0180805  3.49511e-06
rec_devf(2010)    -0.563921 -1.22796e-06
rec_devf(2011)    -0.423366 -2.78604e-06
rec_devf(2012)    -0.300148 -7.59727e-06
rec_devf(2013)    -0.516132 -3.91348e-06
rec_devf(2014)     0.241217 -5.98382e-07
rec_devf(2015)      1.19203  1.53443e-06
rec_devf(2016)      1.16899 -5.13291e-06
rec_devf(2017)    -0.469077 -3.29667e-06
rec_devf(2018)    -0.879505 -9.27996e-07
rec_devf(2019)   -0.0016442 -2.18659e-06
rec_devf(2020) -1.67433e-08 -2.71701e-06
rec_devm(1982)      1.04701 -0.000398187
rec_devm(1983)     0.966841 -0.000342067
rec_devm(1984)      1.17253 -3.55769e-05
rec_devm(1985)      1.80573  0.000256987
rec_devm(1986)      1.53614  0.000516221
rec_devm(1987)      1.89201  0.000762535
rec_devm(1988)     -1.42367   1.1746e-05
rec_devm(1989)    -0.949181 -3.91168e-06
rec_devm(1990)    -0.019344 -5.35534e-07
rec_devm(1991)      2.71452    0.0002719
rec_devm(1992)    -0.386013  3.57782e-05
rec_devm(1993)    0.0864215  1.46055e-05
rec_devm(1994)    -0.821446 -6.28448e-06
rec_devm(1995)      -1.3491 -6.20253e-06
rec_devm(1996)     -1.01833 -1.61403e-05
rec_devm(1997)     0.903252 -0.000185637
rec_devm(1998)     0.281916 -0.000141194
rec_devm(1999)    -0.711579 -5.99486e-05
rec_devm(2000)    -0.688356 -6.82397e-05
rec_devm(2001)     0.180896 -0.000172584
rec_devm(2002)      1.20657  -0.00039263
rec_devm(2003)     0.830005 -0.000213295
rec_devm(2004)     0.547734 -1.85138e-05
rec_devm(2005)    -0.439708  3.40215e-05
rec_devm(2006)     -1.49295  1.43325e-05
rec_devm(2007)     -1.27669  1.11471e-05
rec_devm(2008)      0.41695  2.35238e-05
rec_devm(2009)    -0.660531  1.71724e-05
rec_devm(2010)     -1.07247  1.57589e-05
rec_devm(2011)     -1.34556  9.94491e-06
rec_devm(2012)    -0.860468  1.46489e-05
rec_devm(2013)       -1.371  6.90561e-06
rec_devm(2014)     -0.47742  8.33779e-06
rec_devm(2015)      1.91331  7.37673e-06
rec_devm(2016)     0.595755  3.22656e-06
rec_devm(2017)    -0.871844  2.31967e-06
rec_devm(2018)     -0.86113  6.14676e-06
rec_devm(2019) -0.000797967  3.32328e-06
rec_devm(2020) -1.85524e-08  2.73874e-06
mnatlen_styr(1,1)       11.493 -7.23262e-06
mnatlen_styr(1,2)      11.5741 -6.69711e-06
mnatlen_styr(1,3)      11.7754 -4.37194e-06
mnatlen_styr(1,4)      12.0576 -1.44128e-05
mnatlen_styr(1,5)      12.2605  -2.2164e-05
mnatlen_styr(1,6)      12.1867 -2.40506e-05
mnatlen_styr(1,7)      12.0138 -2.53454e-05
mnatlen_styr(1,8)      11.7958  -2.1236e-05
mnatlen_styr(1,9)      11.7104 -2.16349e-05
mnatlen_styr(1,10)      11.5799 -2.34902e-05
mnatlen_styr(1,11)      11.2166 -1.78096e-05
mnatlen_styr(1,12)      11.0756  -1.5168e-05
mnatlen_styr(1,13)       11.194 -1.82815e-05
mnatlen_styr(1,14)      10.5853  -1.2382e-05
mnatlen_styr(1,15)      9.30386 -3.73691e-06
mnatlen_styr(1,16)      8.22043 -2.86314e-06
mnatlen_styr(1,17)      7.40789   2.0715e-07
mnatlen_styr(1,18)      6.82044   -3.368e-07
mnatlen_styr(1,19)      6.39222 -1.10728e-07
mnatlen_styr(1,20)      6.08052  4.13764e-07
mnatlen_styr(1,21)      5.87038  5.53397e-08
mnatlen_styr(1,22)      5.76425   1.7757e-08
mnatlen_styr(2,1)      2.10233 -3.46514e-07
mnatlen_styr(2,2)      3.42612 -3.70052e-07
mnatlen_styr(2,3)       4.7499  4.60216e-07
mnatlen_styr(2,4)      6.07361  9.60493e-07
mnatlen_styr(2,5)      7.39645 -1.40157e-06
mnatlen_styr(2,6)      8.70808 -1.50473e-06
mnatlen_styr(2,7)      9.86856 -8.07502e-07
mnatlen_styr(2,8)      10.7674  1.46567e-06
mnatlen_styr(2,9)      11.3707  1.40416e-06
mnatlen_styr(2,10)       11.722  2.30252e-07
mnatlen_styr(2,11)      11.8885  1.22397e-06
mnatlen_styr(2,12)      11.9349 -1.37591e-06
