ParName   Value   Gradient
mateste(1)     -4.57318  1.95816e-06
mateste(2)     -4.14318  5.87841e-05
mateste(3)     -3.71317   0.00019668
mateste(4)     -3.28339  0.000773076
mateste(5)     -2.85836   0.00147834
mateste(6)     -2.46178   0.00234887
mateste(7)     -2.12174   0.00345525
mateste(8)     -1.85586   0.00397848
mateste(9)     -1.68757   0.00458058
mateste(10)     -1.57418   0.00548783
mateste(11)     -1.48941   0.00504937
mateste(12)     -1.44097   0.00442187
mateste(13)     -1.33579    0.0057532
mateste(14)     -1.04762   0.00809219
mateste(15)    -0.578184   0.00964952
mateste(16)    -0.115918   0.00572208
mateste(17) -1.53716e-09 -0.000263648
matestfe(1)     -4.07838  1.47182e-05
matestfe(2)     -3.17896 -3.44008e-06
matestfe(3)     -2.27953 -1.11097e-05
matestfe(4)     -1.38577 -2.55791e-05
matestfe(5)    -0.563686 -9.23152e-06
matestfe(6)    -0.115829  9.68113e-06
matestfe(7)   -0.0826206 -1.34165e-06
matestfe(8)   -0.0356457 -1.48902e-05
mean_log_rec_f      14.0507  2.65089e-06
mean_log_rec_m      13.8841   -0.0148308
rec_devf(1982)      -1.7799 -6.20611e-06
rec_devf(1983)     -1.06357  1.77389e-06
rec_devf(1984)   -0.0853116  1.56771e-06
rec_devf(1985)      1.54498 -3.26984e-06
rec_devf(1986)     0.426372  6.24636e-06
rec_devf(1987)   -0.0161251 -2.12995e-06
rec_devf(1988)     -0.61626  -9.2941e-06
rec_devf(1989)     0.125596 -8.13093e-06
rec_devf(1990)     0.219655  7.49835e-06
rec_devf(1991)     0.811259  7.26118e-06
rec_devf(1992)      1.02129  2.44184e-05
rec_devf(1993)      0.95077  4.00861e-05
rec_devf(1994)    -0.462568  9.84662e-06
rec_devf(1995)    -0.777262  1.39694e-05
rec_devf(1996)    -0.780685 -4.17128e-07
rec_devf(1997)    -0.543279  2.61136e-06
rec_devf(1998)    -0.245262  1.04807e-05
rec_devf(1999)    -0.707165 -6.83677e-07
rec_devf(2000)    -0.835117  7.86058e-06
rec_devf(2001)    -0.955323 -1.71211e-06
rec_devf(2002)    -0.120766 -5.87801e-06
rec_devf(2003)     0.970671 -9.54504e-05
rec_devf(2004)     0.606422  2.90653e-05
rec_devf(2005)     0.402011  5.90197e-06
rec_devf(2006)    -0.341966 -1.40161e-06
rec_devf(2007)    -0.353147 -1.74281e-05
rec_devf(2008)      1.84176 -6.07757e-05
rec_devf(2009)     0.915512  -2.0129e-05
rec_devf(2010)    0.0775716  8.67902e-07
rec_devf(2011)    0.0912324  2.73015e-06
rec_devf(2012)    0.0231248 -1.40663e-06
rec_devf(2013)   -0.0653249 -3.94386e-06
rec_devf(2014)   -0.0826933  3.31122e-06
rec_devf(2015)   -0.0721012 -2.99629e-06
rec_devf(2016)   -0.0600169 -1.20882e-06
rec_devf(2017)   -0.0431149 -6.15982e-06
rec_devf(2018)    -0.020135 -3.95748e-06
rec_devf(2019)   -0.0011505 -3.58796e-06
rec_devf(2020)  -1.2207e-07 -9.68512e-06
rec_devm(1982)      0.52592    0.0075401
rec_devm(1983)     0.399779    0.0194648
rec_devm(1984)     0.570691      0.03558
rec_devm(1985)      1.15974    0.0435574
rec_devm(1986)     0.839455   0.00332847
rec_devm(1987)      1.38955   -0.0251523
rec_devm(1988)     -1.78587   0.00740831
rec_devm(1989)      -1.4755   0.00568334
rec_devm(1990)    -0.597377  -0.00454216
rec_devm(1991)      2.28095    -0.284829
rec_devm(1992)    -0.499653  -0.00510582
rec_devm(1993)     -0.24858  0.000437511
rec_devm(1994)    -0.979641   0.00769299
rec_devm(1995)     -1.49586   0.00848268
rec_devm(1996)     -1.15021   0.00830438
rec_devm(1997)     0.658826   0.00422478
rec_devm(1998)    0.0793875   0.00598398
rec_devm(1999)    -0.857442   0.00727426
rec_devm(2000)      -0.8136   0.00672573
rec_devm(2001)   -0.0485877   0.00319022
rec_devm(2002)      1.10213  -0.00597262
rec_devm(2003)      0.86536   0.00273352
rec_devm(2004)     0.290408   0.00784878
rec_devm(2005)   -0.0704468   0.00857505
rec_devm(2006)     -0.75881   0.00890467
rec_devm(2007)     0.129125   0.00898511
rec_devm(2008)      1.41867    0.0090498
rec_devm(2009)      0.21223    0.0090288
rec_devm(2010)    -0.208659   0.00900177
rec_devm(2011)    -0.205883   0.00898632
rec_devm(2012)    -0.178904   0.00899071
rec_devm(2013)    -0.162707   0.00898875
rec_devm(2014)    -0.173143   0.00897361
rec_devm(2015)    -0.134858   0.00896206
rec_devm(2016)   -0.0579343   0.00895767
rec_devm(2017)   -0.0145281   0.00895987
rec_devm(2018)  -0.00327334   0.00896625
rec_devm(2019) -0.000754541   0.00896016
rec_devm(2020) -6.68261e-08   0.00895825
mnatlen_styr(1,1)      11.3201  3.17441e-06
mnatlen_styr(1,2)      11.4084  -0.00017304
mnatlen_styr(1,3)      11.6227 -0.000450821
mnatlen_styr(1,4)      11.9276   -0.0010203
mnatlen_styr(1,5)      12.1601  -0.00168158
mnatlen_styr(1,6)      12.1183  -0.00212494
mnatlen_styr(1,7)      11.9816  -0.00239675
mnatlen_styr(1,8)      11.7986  -0.00223841
mnatlen_styr(1,9)      11.7281    -0.002428
mnatlen_styr(1,10)      11.6057  -0.00267432
mnatlen_styr(1,11)      11.2948  -0.00208244
mnatlen_styr(1,12)      11.2038  -0.00183475
mnatlen_styr(1,13)      11.2802  -0.00250254
mnatlen_styr(1,14)       10.583  -0.00173785
mnatlen_styr(1,15)      9.30266 -0.000624612
mnatlen_styr(1,16)      8.22537  -0.00025852
mnatlen_styr(1,17)      7.40295 -0.000130893
mnatlen_styr(1,18)      6.80428 -7.14422e-05
mnatlen_styr(1,19)      6.36761 -4.42856e-05
mnatlen_styr(1,20)      6.05066 -4.68929e-05
mnatlen_styr(1,21)      5.83759 -2.65127e-05
mnatlen_styr(1,22)      5.73005 -1.77467e-05
mnatlen_styr(2,1)      2.03261 -2.52295e-05
mnatlen_styr(2,2)      3.38088  5.30109e-05
mnatlen_styr(2,3)      4.72914 -1.40254e-06
mnatlen_styr(2,4)      6.07734 -3.36229e-05
mnatlen_styr(2,5)      7.42469 -1.51925e-05
mnatlen_styr(2,6)       8.7608  2.48256e-05
mnatlen_styr(2,7)      9.93817  2.05851e-05
mnatlen_styr(2,8)       10.841 -1.27614e-05
mnatlen_styr(2,9)      11.4346 -2.61798e-05
mnatlen_styr(2,10)      11.7662   2.3896e-05
mnatlen_styr(2,11)      11.9067 -5.33064e-06
mnatlen_styr(2,12)      11.9238 -1.14562e-05
mnatlen_styr(2,13)      11.8769 -1.70641e-05
mnatlen_styr(2,14)      11.7776 -7.91197e-05
mnatlen_styr(2,15)      11.5909 -0.000738903
mnatlen_styr(2,16)      11.2778  -0.00154856
mnatlen_styr(2,17)      10.7094  -0.00145586
mnatlen_styr(2,18)      9.89661 -0.000894601
mnatlen_styr(2,19)      8.91437 -0.000422306
mnatlen_styr(2,20)      7.83997 -0.000189492
mnatlen_styr(2,21)      6.72788 -7.29548e-05
mnatlen_styr(2,22)      5.60673 -2.45669e-05
fnatlen_styr(1,1)      9.52528 -8.99946e-06
fnatlen_styr(1,2)      9.62325  9.38144e-06
fnatlen_styr(1,3)       9.9474  -1.7578e-05
fnatlen_styr(1,4)       10.597  8.53722e-06
fnatlen_styr(1,5)        11.94  2.83284e-05
fnatlen_styr(1,6)      13.0726  -2.5648e-05
fnatlen_styr(1,7)      12.5097  9.61546e-06
fnatlen_styr(1,8)      11.5645  -1.1248e-05
fnatlen_styr(1,9)      10.5459  1.53342e-05
fnatlen_styr(1,10)      9.55951  4.02554e-06
fnatlen_styr(1,11)      8.96264 -1.15743e-05
fnatlen_styr(1,12)      8.69505  9.82296e-06
fnatlen_styr(2,1)      9.82057  -7.8929e-06
fnatlen_styr(2,2)      9.91642  1.48658e-05
fnatlen_styr(2,3)       10.223 -2.15502e-05
fnatlen_styr(2,4)      10.9757  2.60881e-06
fnatlen_styr(2,5)      12.3533  2.33573e-05
fnatlen_styr(2,6)       12.984  2.04054e-06
fnatlen_styr(2,7)      12.4745 -1.41727e-05
fnatlen_styr(2,8)       11.548  2.32754e-06
fnatlen_styr(2,9)      10.6648  1.23419e-05
fnatlen_styr(2,10)      9.67784 -5.93753e-06
fnatlen_styr(2,11)      9.04875 -9.64657e-06
fnatlen_styr(2,12)      8.76153   8.4103e-06
log_avg_fmort    -0.859781   -0.0126136
fmort_dev(1982)    -0.305182   0.00250614
fmort_dev(1983)    -0.884015   0.00269707
fmort_dev(1984)    -0.150008    0.0010701
fmort_dev(1985)     0.420811  -0.00136852
fmort_dev(1986)     0.873125 -0.000767541
fmort_dev(1987)      1.47123  0.000338471
fmort_dev(1988)      1.42824   0.00142871
fmort_dev(1989)      1.24023   -0.0045768
fmort_dev(1990)      2.07221    0.0103717
fmort_dev(1991)      2.10696   0.00911621
fmort_dev(1992)      1.43505  -0.00323061
fmort_dev(1993)     0.791478   0.00094567
fmort_dev(1994)     0.363146   0.00528328
fmort_dev(1995)    0.0800997   0.00620308
fmort_dev(1996)    -0.233246  0.000276834
